Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,Age dependency ratio (% of working-age population),SP.POP.DPND,86.32411067,84.9906567,83.88004055,82.78096589,81.42257285,79.75556252,78.33086145,76.35711899,74.17218543,72.15642589,70.41664262,67.91909147,65.97786592,64.23041274,62.23431344,59.82978051,58.53154355,56.61581569,54.26056157,51.95196717,50.07116993,48.84252433,47.9761675,47.48310611,47.17758936,46.72564311,47.58864413,48.00019148,47.8982033,47.60211855,47.49970333,45.9361803,44.88183961,44.30379747,43.9429483,43.5382416,43.98698579,44.24544227,44.34300835,44.38081952,44.4243089,44.2515528,44.04731215,43.77148785,43.40052865,42.98926483,43.15000426,43.48898529,43.99187361,44.58997235,45.26840699,45.17404726,44.97696243,44.73854009,44.58141802,44.59272193,44.60799868,
Afghanistan,AFG,Age dependency ratio (% of working-age population),SP.POP.DPND,81.60468407,82.65736545,83.2205555,83.48326982,83.6780606,83.90303026,85.07036528,86.08631785,86.95368869,87.62796712,88.09282141,89.3156709,90.2019068,90.81001701,91.17474289,91.26696981,92.2671043,93.08837962,93.68839391,93.93240149,93.64624765,94.74081583,95.62039013,96.31070958,96.98459637,97.90473471,98.70624723,99.06884104,99.29024287,99.79000827,101.0182599,100.9656473,100.8702317,100.9023177,100.8872706,100.5101185,101.2949461,102.0432616,102.595062,102.9758786,103.3263601,102.9277729,102.1539589,101.2004851,100.1590303,99.01183094,99.63202905,100.2310231,100.6564961,100.7408126,100.4064115,98.73075897,96.52858984,94.00173412,91.37620486,88.76872734,86.57093215,
Angola,AGO,Age dependency ratio (% of working-age population),SP.POP.DPND,89.68251807,91.45106188,93.66527026,95.85917725,97.22351241,97.39271525,98.57461658,98.45722973,97.50713428,96.44353333,95.66011798,96.06046137,96.42919635,96.78267481,97.01159005,97.0739094,98.21933689,98.9930657,99.50446305,99.86906717,100.1507087,101.3550644,102.1143406,102.5472893,102.7225756,102.6256622,103.3607006,103.8495351,104.0336903,103.8682479,103.3985937,103.8143905,103.6510643,103.1102672,102.3736165,101.4958343,101.5176254,101.2639939,100.7880614,100.1611603,99.47842478,99.50783435,99.34688287,99.07526966,98.74275878,98.37403142,98.6938456,98.83510512,98.84333332,98.7393853,98.52991499,98.69988264,98.60989731,98.34942902,97.99759642,97.57619869,97.27421168,
Albania,ALB,Age dependency ratio (% of working-age population),SP.POP.DPND,83.70674958,84.95077042,86.23702651,87.43023027,88.28339628,88.64302413,88.84184051,88.45537653,87.64153578,86.62889315,85.53990863,84.23846179,83.00580968,81.72360945,80.23562849,78.51243105,77.0341247,75.28349241,73.4350723,71.71223433,70.213117,68.89513541,67.76083935,66.76517913,65.84256305,64.98167805,64.26667783,63.64897998,63.09835045,62.52147355,61.80839059,62.52088232,63.11243015,63.54041881,63.87437069,64.20407396,63.15929342,62.24263416,61.41261643,60.55838436,59.58581398,58.56796352,57.44588622,56.24238929,55.02213732,53.82131412,52.61447308,51.62142045,50.79122424,50.10562445,49.5647611,48.10245252,46.82006398,45.67580378,44.71133907,44.01664386,44.0015401,
Andorra,AND,Age dependency ratio (% of working-age population),SP.POP.DPND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Age dependency ratio (% of working-age population),SP.POP.DPND,88.2058102,89.64473422,90.94449841,92.06363123,92.89288103,93.36445922,94.24177628,94.63344583,94.68551286,94.56361304,94.33599779,94.59771733,94.61872507,94.4582201,94.18243323,93.85107174,93.68273814,93.43654927,93.11851482,92.70132877,92.1678842,91.88223949,91.4361947,90.87598213,90.26319187,89.62858647,89.37816291,89.02484315,88.58988747,88.04431458,87.48133989,86.72617829,86.05811807,84.90674981,83.59814216,81.94641901,80.57680766,79.14265987,77.67580726,76.19786686,74.71481247,73.21951671,71.74722902,70.3090971,68.92061811,67.60287661,66.4186786,65.27545206,64.23529317,63.36502686,62.69471516,62.34169617,62.16885425,62.11818785,62.08985796,62.01723439,62.05747529,
United Arab Emirates,ARE,Age dependency ratio (% of working-age population),SP.POP.DPND,92.75057742,87.68893675,82.45409123,77.48597114,72.99690294,68.97834418,65.27734866,62.29020729,60.02690497,58.39906742,57.43911326,51.08842321,46.54189145,43.69588891,42.33165143,42.15185459,40.5539225,39.79706435,40.00795106,40.80599169,41.73205649,43.15965322,44.61885044,46.20821947,47.88687054,49.51246356,49.7945209,49.617883,49.11956499,48.34601621,47.31717748,45.68181146,44.06242082,42.47563933,40.93312853,39.48597718,38.78335822,38.04882513,37.58588377,37.36427509,37.13112264,33.2204882,29.94459843,27.35639132,25.39854127,23.96727817,21.29602227,19.34451679,18.04583295,17.16335258,16.45184931,16.76697862,16.92439082,17.04445519,17.20212928,17.38245504,17.60817836,
Argentina,ARG,Age dependency ratio (% of working-age population),SP.POP.DPND,56.99723605,57.18597111,57.29995994,57.33925146,57.30447866,57.20466316,57.24105603,57.19641591,57.10855895,57.03565142,57.02047091,57.16246685,57.34637269,57.57929233,57.87626264,58.25453585,59.02671906,59.95409763,60.96042441,61.90659882,62.70143109,63.70518325,64.26312342,64.55540566,64.83269574,65.19920158,65.24739359,65.56029496,65.91883254,66.01861375,65.74592795,65.64637252,65.15579684,64.42962266,63.70270138,63.08208369,62.6450772,62.23398023,61.84732759,61.44813528,61.02129455,60.53543674,60.11545915,59.71722464,59.28504313,58.80362101,58.48891404,58.05973177,57.59388819,57.20138854,56.93294175,56.74773156,56.67340663,56.66258535,56.6338759,56.54900705,56.54224643,
Armenia,ARM,Age dependency ratio (% of working-age population),SP.POP.DPND,81.82770745,84.7866972,87.04574859,88.59681771,89.51005641,89.77506587,89.36279787,88.14742125,86.26599188,83.97143911,81.47109258,78.13164929,75.15604214,72.40064238,69.65228507,66.85527112,64.70093021,62.38658806,60.15241513,58.26902524,56.8126136,55.7903009,55.17423835,54.85884513,54.67512102,54.54833111,54.49380455,54.52148565,54.69862766,55.04695072,55.46257626,56.4991613,57.61876769,58.71448318,59.65122029,60.35572559,59.99639427,59.20111992,58.09879713,56.91759459,55.82827754,54.41381914,53.35607973,52.45509914,51.4075762,50.06281856,48.88590966,47.37856575,45.80423402,44.53774785,43.79041951,43.45863514,43.42615642,43.65506805,44.01665035,44.41225877,44.89494332,
American Samoa,ASM,Age dependency ratio (% of working-age population),SP.POP.DPND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
