Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
Aruba	ABW	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Afghanistan	AFG	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																															2	2	2	2	2	2	2	1.5	1.5	1.5	1.5	
Angola	AGO	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														3	3	3	3	3.5	3.5	3.5	3	3				
Albania	ALB	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														4	4											
Andorra	AND	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Arab World	ARB	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														2.8	2.8	2.7	2.7	2.8	2.9	2.8	2.8	2.8	2.8	2.7	2.7	
United Arab Emirates	ARE	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Argentina	ARG	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Armenia	ARM	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														4.5	4.5	4.5	4.5	4.5	4.5	4	4.5	4.5				
American Samoa	ASM	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Antigua and Barbuda	ATG	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Australia	AUS	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Austria	AUT	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Azerbaijan	AZE	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														4	4	4	4	4	4							
Burundi	BDI	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														3.5	3.5	4	4	4	4	4	4	4	4	4	4	
Belgium	BEL	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																																										
Benin	BEN	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														3	3	3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	
Burkina Faso	BFA	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ																																														3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	
