Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.1993332,110.8014374,109.4029007,110.9983063,109.2143021,110.8390503,111.3767166,114.2385864,115.224411,113.0788269,113.7757416,113.7417831,105.2193985,104.0627594,116.108017,117.3180389,,,
Afghanistan,AFG,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,31.34174919,32.21033859,32.50746918,32.87379837,33.43759918,33.31623077,34.29225922,35.12284088,36.62601089,,44.77437973,48.54335022,17.6810894,,22.65113068,24.69518089,26.69475937,,33.49937057,31.18457031,30.09115028,28.6841507,,31.15373039,43.12926865,46.24322891,,,33.31254959,27.04071999,22.33481026,22.20237923,73.3095932,99.24848938,111.2605591,104.1713715,107.817421,104.6908188,106.4537735,102.2252884,105.5209274,102.8096313,108.9285202,110.0654373,111.744133,111.8770828,,
Angola,AGO,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,58.72721863,63.89730835,66.09954071,72.10684967,,,,,,149.0358276,130.8056946,121.1766281,108.7552032,94.67823029,75.02474213,81.07156372,81.66928101,81.05615997,82.01186371,78.25849915,71.9317627,69.36856079,,,,,,78.36840057,,,,,,,,,105.2104034,111.9137573,111.1583405,113.5078735,128.7041473,,,,,,
Albania,ALB,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,,,,,,119.3476791,,114.998848,112.2156525,107.5305405,105.0638504,103.6651382,102.7332687,103.6929016,103.9178391,103.8384628,101.7586594,99.90882111,99.78552246,99.82147217,101.6307907,99.96878052,98.94786072,101.9895782,104.5339584,106.8230972,108.5679626,107.7334671,106.3054581,104.7495193,103.473999,101.5591965,100.0177994,98.38082123,101.4723587,99.59384155,99.09313202,99.51950073,97.52532959,99.01331329,101.8157425,104.7843933,107.7845612,112.4866409,113.6997986,,
Andorra,AND,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,,,,,88.60502625,,,,,,,,114.375618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,66.62187195,66.72052002,68.25868988,69.52204895,69.91995239,71.35539246,73.22743988,74.20400238,74.6033783,76.48194122,77.78179932,78.03942108,78.94776154,79.80583191,80.71476746,80.5687027,81.29270172,82.28645325,82.81764984,82.53613281,83.14668274,83.59465027,81.01595306,81.59114838,84.13446045,82.93282318,85.22502136,85.92047119,86.65644836,87.91625977,88.83899689,89.97328949,91.46868134,92.77078247,93.45256805,94.20487976,95.32099915,96.00354004,96.85666656,97.33731079,97.97268677,97.42421722,99.01986694,97.60108948,97.02707672,,,
United Arab Emirates,ARE,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,79.06099701,85.75647736,88.22763824,86.66716766,85.68295288,95.01338196,99.57541656,98.01508331,93.91462708,91.58992767,88.58776855,93.35183716,94.60973358,95.88395691,95.8346405,96.65725708,97.91000366,100.8531723,105.4362183,109.3887787,110.0881271,104.9328995,102.3832397,103.2430191,104.9605103,103.158989,99.66165924,96.42817688,94.19611359,90.13761139,87.697258,92.12941742,99.10974121,103.4887466,105.5068436,104.0567169,103.0905304,,97.32917023,99.69960785,99.0844574,101.4232025,100.9739532,106.7116699,116.3458405,,
Argentina,ARG,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,105.6495438,106.3789597,105.9416809,105.5295715,106.310791,106.1638184,105.8600769,106.779953,106.3813095,106.8267288,106.8851013,107.6234665,107.7754974,,105.5620728,105.4701004,106.0780563,106.3605804,107.0244217,,106.5615692,109.0856934,,,111.943512,,111.3675079,108.2667999,112.9470673,116.052948,117.3634872,118.064621,118.758522,116.5013123,117.8136368,117.1332932,118.8351974,119.3486862,119.4411621,118.2114105,116.7181625,114.7684708,112.9782562,110.5659866,109.9888916,,,
Armenia,ARM,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.4689636,99.21221161,102.5770187,94.72537231,90.9055481,92.001297,125.6802597,128.2881927,133.0361938,98.52625275,102.2236099,95.57846069,94.32559204,94.62056732,94.29905701,97.71125793,108.466713,107.5535812,102.4492416,,,,,,98.4666214,,
American Samoa,ASM,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
