Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
Aruba	ABW	"Manufacturing, value added (current LCU)"	NV.IND.MANF.CN																																			34000000	61000000	62000000	68000000	83000000	111030000	131530000	133210000	133710000	138920000	149450000	154320000	163240000	180420000	182410000	183000000	181150000	193780000						
Afghanistan	AFG	"Manufacturing, value added (current LCU)"	NV.IND.MANF.CN																																											34288093300	37462427100	43848492900	51149586200	57029600800	86148822400	91879808100	80436757300	90939606800	1.17171E+11	1.3085E+11	1.3132E+11	1.35107E+11	1.39639E+11	1.4943E+11	
Angola	AGO	"Manufacturing, value added (current LCU)"	NV.IND.MANF.CN																										19.73900032	20.76799965	16.15200043	19.67300034	17.06500053	15.35400009	100	100	1500	30700	547500	28789000	76700000	159977000	553400000	2649300000	7634300000																
Albania	ALB	"Manufacturing, value added (current LCU)"	NV.IND.MANF.CN																																					29578434600	25911456300	25534800200	28647271400	33393119700	34784580800	35311384200	50843800000	62507315700	72742775000	82313381200	73687450600	54009604300	59456957800	67586936900	73639868700	61501605000	68310104100	74311432800	81204911600	83220955500	
Andorra	AND	"Manufacturing, value added (current LCU)"	NV.IND.MANF.CN																																									56620000	56610000	62790000	77120000	86970000	90470000	97370000	100360000	97160000	91050000	93900000	89790000	83060000	79640000	80230000	82270000		
Arab World	ARB	"Manufacturing, value added (current LCU)"	NV.IND.MANF.CN																																																										
United Arab Emirates	ARE	"Manufacturing, value added (current LCU)"	NV.IND.MANF.CN																531000000	853000000	2664000000	3159000000	3643000000	6026000000	11613000000	13567000000	13780000000	14035000000	13307000000	10312000000	11720000000	11773000000	12431000000	13948000000	14048000000	15100000000	16017000000	14342000000	16345000000	17926000000	22851000000	23987000000	26539000000	34762000000	50514000000	52685000000	55998000000	62499000000	70365000000	78774000000	85490000000	99641000000	85623000000	84802982100	99402485300	1.0549E+11	1.08085E+11	1.15694E+11	1.17951E+11	1.21223E+11	
Argentina	ARG	"Manufacturing, value added (current LCU)"	NV.IND.MANF.CN						0.198449999	0.246560007	0.302769989	0.334919989	0.400889993	0.378600001	0.59533	1.010259986	1.623639941	2.21897006	7.414609909	40.03170013	103.8949966	241.8320007	631.5230103	1132	2150	6853	33580	234970	1572500	2737600	6415600	31097000	1004009984	18464000000	44114599900	49541099500	43138297900	45873500000	44502000000	47723250000	53382000000	53326250000	48089750000	46877500000	43242000000	63603000000	84530000000	91866330500	1.0684E+11	1.27988E+11	1.52912E+11	1.90133E+11	1.94475E+11	2.63297E+11	3.45391E+11	4.01406E+11	5.02616E+11	6.76458E+11	8.46937E+11	1.11554E+12	
Armenia	ARM	"Manufacturing, value added (current LCU)"	NV.IND.MANF.CN																															15170000	28130000	94310000	924520000	54494998500	1.26731E+11	1.54902E+11	1.80658E+11	1.90018E+11	2.08915E+11	1.73646E+11	1.84351E+11	2.05981E+11	2.4872E+11	2.58806E+11	3.038E+11	2.88141E+11	2.95104E+11	3.15508E+11	2.73112E+11	3.35108E+11	3.99271E+11	4.02104E+11	4.41103E+11	4.66755E+11	4.64326E+11	4.66608E+11	
American Samoa	ASM	"Manufacturing, value added (current LCU)"	NV.IND.MANF.CN																																																										
Antigua and Barbuda	ATG	"Manufacturing, value added (current LCU)"	NV.IND.MANF.CN																		6900000	8997400	10700000	14168200	14600000	16800000	18201500	19949300	20942100	22234800	23817100	24923700	27695300	31242500	29525800	27757400	26371600	26899000	26702500	27778000	30177300	32793800	34944900	36403100	37609700	39963700	44035500	46078400	49483800	56818700	60061300	58756100	68362500	66881400	69000700	67304900	87376600	92959800	96831500	95568000	
Australia	AUS	"Manufacturing, value added (current LCU)"	NV.IND.MANF.CN																															56264000000	52585000000	53661000000	57656000000	62156000000	65592000000	67926000000	69070000000	73925000000	74448000000	76704000000	77817000000	79564000000	87031000000	93924000000	95480000000	98931000000	1.01269E+11	1.08754E+11	1.06606E+11	1.04133E+11	1.0457E+11	1.05738E+11	1.01661E+11	1.01793E+11	1.02151E+11	1.01686E+11	
