Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
Aruba	ABW	Gross savings (% of GNI)	NY.GNS.ICTR.GN.ZS																																																										
Afghanistan	AFG	Gross savings (% of GNI)	NY.GNS.ICTR.GN.ZS																																																	0.937891545	1.415225185	-4.881959723	-10.26458384	-3.255147288	-10.55224996	-6.98695976	-10.43995058	-10.94870678	
Angola	AGO	Gross savings (% of GNI)	NY.GNS.ICTR.GN.ZS																										0.31416	2.10936	0.77792	0.47872	-0.039893333	-0.768944	-14.0197715	-65.82637938	-60.33338456	-76.40716965		98.85053613	15.87853994	7.587382243	1.285981807	29.10181567	-2.888916881	12.2167479	8.844325447	14.46843312	31.46989716	48.04400209	35.46813008	29.58676801	5.715979349	26.09247885	28.08935533	29.62263438	23.22159537	13.31383587	-0.451391478	3.061930884	
Albania	ALB	Gross savings (% of GNI)	NY.GNS.ICTR.GN.ZS																									30.27023062	30.8771207	30.7639687	28.65521105	26.40449805	29.39476038	21.62131389	-7.232069573	-2.149261295	10.66619144	7.756998026	20.09100367	18.93730665	9.173705472	18.16464955	17.95744528	28.32726595	33.90877161	29.00238644	32.23839411	31.58877342	29.60685573	31.50631538	27.34675791	20.04355858	19.5153163	19.17605229	18.49522866	18.2665023	17.43111433	11.78764918	15.80203789	16.64642464	
Andorra	AND	Gross savings (% of GNI)	NY.GNS.ICTR.GN.ZS																																																										
Arab World	ARB	Gross savings (% of GNI)	NY.GNS.ICTR.GN.ZS																	78.28892887	53.19381166	41.05633221	51.12870436	66.31218139	40.72695117	30.82529887	27.34102373	24.82240751	21.83359889	18.91973336	20.51959253	19.87604008	19.66161692		8.566879693	20.22742727	19.7583518	19.35274606	20.85929256	22.35202361	22.24813375	18.58497628	22.43415855	27.22598106	25.68650176	24.58901652	28.69863993	33.51623643	39.11878395	41.87822407	41.54648461	44.66056015	29.24266511	34.16085646	40.49930703	38.62604833	35.84234997	32.85908849	22.90157206	20.7126835	
United Arab Emirates	ARE	Gross savings (% of GNI)	NY.GNS.ICTR.GN.ZS																																																										
Argentina	ARG	Gross savings (% of GNI)	NY.GNS.ICTR.GN.ZS																	34.03849326	32.76262784	30.37098622	25.44612426	23.19194457	20.35493402	19.53170789	19.65415706	18.58452627	18.68893603	15.48284905	15.93860122	18.41005366	14.87602961	16.77964132	13.99429472	13.91051634	15.79257671	15.84935181	16.24303494	15.91009496	15.53818844	15.47729596	14.18639134	13.38305909	13.14537871	21.88768327	21.95798774	20.33803495	22.10916471	22.15436556	22.84118299	21.66078055	18.89925064	17.93432732	17.86599343	16.61363518	15.53681482	16.25420375	14.60355782	13.96123633	
Armenia	ARM	Gross savings (% of GNI)	NY.GNS.ICTR.GN.ZS																																		-7.22038658	-1.658832892	-7.341041842	0.677261707	-0.1893837	-2.626464828	0.404679412	3.109597155	12.89136361	17.16021237	19.1276902	23.30117431	28.29769816	32.30647326	29.57522487	26.29672801	17.30069645	18.94588481	14.19081423	14.79216297	15.0618381	12.86552665	17.42676423	15.86417449	
American Samoa	ASM	Gross savings (% of GNI)	NY.GNS.ICTR.GN.ZS																																																										
