Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
Aruba	ABW	"Services, etc., value added (current LCU)"	NV.SRV.TETC.CN																																			1810000000	1785000000	1868000000	2031000000	2208540000	2333730000	2550280000	2617620000	2670660000	2710630000	2937060000	3022540000	3063380000	3224740000	3491090000	3276220000	3310440000	3446850000						
Afghanistan	AFG	"Services, etc., value added (current LCU)"	NV.SRV.TETC.CN																																											69161972900	86224867400	1.05496E+11	1.2348E+11	1.42891E+11	2.00583E+11	2.38021E+11	2.80148E+11	3.5865E+11	4.28571E+11	5.4616E+11	6.06732E+11	6.30054E+11	6.56136E+11	7.00614E+11	
Angola	AGO	"Services, etc., value added (current LCU)"	NV.SRV.TETC.CN																										100	100	100	100	100	100	300	1000	10000	163600	3611000	210147000	529744000	792070000	3604600000	20361200000	53140700000																
Albania	ALB	"Services, etc., value added (current LCU)"	NV.SRV.TETC.CN																					3325100100	3953900000	4053299700	3779599300	3780799900	3726699600	3791000000	3623099400	3775800300	4277900200	2673000000	2953999300	13328000000	28148000800	46312005600	48746995700	1.53258E+11	1.65937E+11	2.05077E+11	2.49807E+11	2.63555E+11	2.99674E+11	3.11729E+11	3.21411E+11	3.46882E+11	3.82409E+11	4.08159E+11	4.56934E+11	4.83054E+11	5.18402E+11	5.4576E+11	5.75609E+11	5.9916E+11	6.02218E+11	6.38806E+11	6.63732E+11	6.88797E+11	
Andorra	AND	"Services, etc., value added (current LCU)"	NV.SRV.TETC.CN																																									1174530000	1268080000	1387130000	1606630000	1783480000	1968620000	2134450000	2218280000	2086270000	2042350000	1977910000	1932220000	1933360000	1959600000	2008670000	2028320000		
Arab World	ARB	"Services, etc., value added (current LCU)"	NV.SRV.TETC.CN																																																										
United Arab Emirates	ARE	"Services, etc., value added (current LCU)"	NV.SRV.TETC.CN																14849000000	20993000000	30613000000	28820000000	33477000000	43393000000	56302000000	61970000000	59498000000	55784000000	56376000000	58143000000	59005000000	60975000000	66564999900	74523000000	98265000000	86262000000	96054000000	1.13011E+11	1.27111E+11	1.40011E+11	1.5214E+11	1.60622E+11	1.72573E+11	1.88602E+11	1.82442E+11	2.02662E+11	2.23542E+11	2.5329E+11	2.84967E+11	3.34468E+11	4.18501E+11	4.76811E+11	4.3688E+11	4.79727E+11	5.31353E+11	5.76316E+11	6.3519E+11	6.87933E+11	7.24793E+11	7.53269E+11	
Argentina	ARG	"Services, etc., value added (current LCU)"	NV.SRV.TETC.CN						0.186389998	0.2412	0.341289997	0.40011999	0.475080013	0.577099979	0.718779981	1.206859946	2.113610029	3.01038003	8.396300316	41.91199875	125.2210007	328.7810059	930.8200073	2013.400024	3975.300049	10773.5	54510	410850	2816400	5473200	12617400	58347000	1558310016	38496002048	1.09554E+11	1.43519E+11	1.44403E+11	1.55345E+11	1.56939E+11	1.63458E+11	1.74668E+11	1.79791E+11	1.75571E+11	1.76051E+11	1.70785E+11	1.67383E+11	1.90059E+11	2.32064E+11	2.8245E+11	3.48997E+11	4.4408E+11	5.77757E+11	6.65221E+11	8.55706E+11	1.12899E+12	1.41545E+12	1.80538E+12	2.42419E+12	3.2347E+12	4.46461E+12	
Armenia	ARM	"Services, etc., value added (current LCU)"	NV.SRV.TETC.CN																															14190000	19430000	84130000	877189900	32887996400	1.29542E+11	1.91098E+11	2.57767E+11	3.05576E+11	3.46393E+11	3.32386E+11	3.74591E+11	4.31478E+11	5.07042E+11	5.98137E+11	6.93094E+11	8.48132E+11	1.01474E+12	1.20364E+12	1.27197E+12	1.34565E+12	1.45885E+12	1.85676E+12	1.99262E+12	2.18944E+12	2.34251E+12	2.50531E+12	
American Samoa	ASM	"Services, etc., value added (current LCU)"	NV.SRV.TETC.CN																																																										
Antigua and Barbuda	ATG	"Services, etc., value added (current LCU)"	NV.SRV.TETC.CN																		154832300	177037400	218250600	257567900	287549700	330273700	370626000	424699100	484431000	556091900	641320500	756896700	830015500	882249800	921739900	967796700	1051724600	1159670400	1122283000	1233163200	1326403200	1423635800	1492884000	1668925376	1601366395	1610763374	1684967169	1777861885	1956629194	2077354792	2313426561	2408863300	2188932800	2120946700	2140164500	2269902200	2232591200	2408067700	2543539000	2667911300	
