Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
Aruba	ABW	"Taxes on income, profits and capital gains (% of revenue)"	GC.TAX.YPKG.RV.ZS																																																										
Afghanistan	AFG	"Taxes on income, profits and capital gains (% of revenue)"	GC.TAX.YPKG.RV.ZS																																															4.219004888	3.632434687	1.90069271	3.520272797	2.998966265	2.697366562	3.723815707	3.617021956	4.876052454	5.998665108		
Angola	AGO	"Taxes on income, profits and capital gains (% of revenue)"	GC.TAX.YPKG.RV.ZS																																								30.75541678	48.60993484	43.36584639	43.71913402	42.67834793	49.91302337	55.98264427	43.1883946	39.10553331	48.74125085	54.76116035	34.14945365	27.61067012	31.91887168	29.73856972	30.66161038	40.24720277		
Albania	ALB	"Taxes on income, profits and capital gains (% of revenue)"	GC.TAX.YPKG.RV.ZS																																				8.319688271	10.02854785	6.484383952	6.523514186				13.88132417	13.48066723	14.83458305							14.73724103	14.2052561	14.33115005	13.81368207	14.91900192	11.48171936	
Andorra	AND	"Taxes on income, profits and capital gains (% of revenue)"	GC.TAX.YPKG.RV.ZS																																																										
Arab World	ARB	"Taxes on income, profits and capital gains (% of revenue)"	GC.TAX.YPKG.RV.ZS																																																26.48280161	26.94871201	27.33481896	17.56650213	13.93707488						
United Arab Emirates	ARE	"Taxes on income, profits and capital gains (% of revenue)"	GC.TAX.YPKG.RV.ZS																																						0	0	0												0	0	0	0	0	0	
Argentina	ARG	"Taxes on income, profits and capital gains (% of revenue)"	GC.TAX.YPKG.RV.ZS																															2.391295238	2.238015055	3.021277207	8.118461435	10.62471417	10.30771739	13.2142032	13.62525954	15.85387502	16.19769011	17.04055017	17.97745525	13.04191753	16.03155493	18.88977764	19.82988812	18.66199291	14.23548442	13.08274593	11.35745257	11.56119276	13.0207438	13.12514612	13.46744173	13.84930995	15.15797139	12.0109832	
Armenia	ARM	"Taxes on income, profits and capital gains (% of revenue)"	GC.TAX.YPKG.RV.ZS																																													14.52464692	16.32752677	18.63067624	17.51449268	16.83710185	19.65839141	18.61892076	19.4124057	21.31434455		33.86419157	35.66756032		
American Samoa	ASM	"Taxes on income, profits and capital gains (% of revenue)"	GC.TAX.YPKG.RV.ZS																																																										
Antigua and Barbuda	ATG	"Taxes on income, profits and capital gains (% of revenue)"	GC.TAX.YPKG.RV.ZS																																									9.439282927	12.9516761	14.57557132	14.42578196	9.69338017	12.38377638	16.44853661	13.55367431	14.55048507	16.44938396	13.50488344	11.25173926	11.95722189	14.16619245	10.69488909			
Australia	AUS	"Taxes on income, profits and capital gains (% of revenue)"	GC.TAX.YPKG.RV.ZS													58.32507978	59.00319884	61.35640251	64.57273652	62.87065576	63.21911918	63.34200636	60.45109932	60.82460733	62.18489728	63.26867027	61.20291245	58.86124953	59.79186056	59.42048639	60.64444652	61.76544858	64.31340677	65.05724342	66.31388386	65.61709832	65.71130477	64.04240746	64.68739605	66.04259265	67.19919155	67.14142893	65.50501008	66.71540841	63.29358533	60.63965277	62.87304445	63.49635905	65.15882694	65.3771229	65.85190285	66.47500725	65.16288537	61.55319737	63.64661304	65.33374843	64.29266736	63.6064088	64.9988061	64.20520595	
Austria	AUT	"Taxes on income, profits and capital gains (% of revenue)"	GC.TAX.YPKG.RV.ZS													20.45756664	19.87179487	21.55559073	20.51681347	19.72209969	19.94963406	21.43719182	20.96236153	20.880166	20.78125817	20.27315944	20.01005651	20.17856752	19.30395699	19.41300633	18.26086957	19.42843808	17.83113122	18.82927761	19.48326793	19.95196157	20.50917384	19.16427393	25.52169527	27.1250757	28.31496062	28.7594128	27.7732592	27.73623359	30.1161535	28.34172776	28.24033652	27.90487716	26.91647162	27.16546897	28.16299103	29.04952223	26.02355088	26.4545629	26.67800834	27.01015908	27.38776139	27.92515607	28.75636164		
Azerbaijan	AZE	"Taxes on income, profits and capital gains (% of revenue)"	GC.TAX.YPKG.RV.ZS																																			17.50433601	30.78112428	19.50519439	19.97909269	20.5365597	21.46089016									17.67904429	13.19260307	10.18904922	12.07716624	13.59231031	13.81264117	13.98373293	17.29333412		
Burundi	BDI	"Taxes on income, profits and capital gains (% of revenue)"	GC.TAX.YPKG.RV.ZS																																18.16200917	20.57392757	17.69666166	14.41498879	18.99069269	22.87383123	24.87348788	22.23707791	23.79987424											9.883705622	11.5846964	17.37428227	14.52925627				
Belgium	BEL	"Taxes on income, profits and capital gains (% of revenue)"	GC.TAX.YPKG.RV.ZS																																				35.72856826	35.21865236	35.75311354	36.8441922	35.80434383	36.83045389	36.83343126	37.21594063	36.63267028	36.86354159	37.16433745	36.97544715	36.63659747	36.97471508	34.16125719	34.76838088	35.31777266	35.40356607	36.17114106	36.76276057	35.07495016		
Benin	BEN	"Taxes on income, profits and capital gains (% of revenue)"	GC.TAX.YPKG.RV.ZS																																										19.67132206	21.56121343	18.54072877	18.47017618	18.69026625	18.38204045	15.1825783	17.51536839	16.75325158	16.17060901	16.90930345	16.83266705	16.72478207				
Burkina Faso	BFA	"Taxes on income, profits and capital gains (% of revenue)"	GC.TAX.YPKG.RV.ZS																																											17.70636374	15.44940476	15.55859145	15.99565938	15.10524046	14.94299928	16.40431255	13.82808194	15.17588237	19.19468342	20.06009512	19.22788788	19.87785096	18.34864252	20.26231833	
Bangladesh	BGD	"Taxes on income, profits and capital gains (% of revenue)"	GC.TAX.YPKG.RV.ZS																																										11.46907178	11.76951758	11.30577258	12.32611025	12.34162705	14.58764708	17.23719907	18.74421068	19.26241308	20.05831576	22.34229187	23.23426364	24.45417883	24.90608279	26.85535758		
Bulgaria	BGR	"Taxes on income, profits and capital gains (% of revenue)"	GC.TAX.YPKG.RV.ZS																															38.05786857	50.65621729	36.84583089	23.01306379	22.95192539	24.98024516	28.96275119	28.83101989	18.7384014	17.45560248	16.95163153	15.63731938	13.42248891	22.00363838	19.70233431	17.24399382	17.47981642	24.19865083	19.62246204	20.18911455	19.32796542	19.39310338	18.36907291	18.95795776	20.77223833	19.15896506		
Bahrain	BHR	"Taxes on income, profits and capital gains (% of revenue)"	GC.TAX.YPKG.RV.ZS																															5.423135797	5.487674169	4.883820998	4.842146039	6.185787671	4.660932186	5.47752809	4.930448223	7.141374299	5.218525766	3.398784013	4.774706958	4.193647857	3.752982199	4.259792851	0.452315424	0.52078237	0.509157197	0.653558157	0.65457441	0	0.669771525		0.53782084				
"Bahamas, The"	BHS	"Taxes on income, profits and capital gains (% of revenue)"	GC.TAX.YPKG.RV.ZS																																																										
Bosnia and Herzegovina	BIH	"Taxes on income, profits and capital gains (% of revenue)"	GC.TAX.YPKG.RV.ZS																																														2.002578079	2.194238781	3.3038873	2.659941834	5.271133316	6.396708028	6.616589473	6.717725195	6.861768205	6.486013561	6.798757993	7.47328101	
Belarus	BLR	"Taxes on income, profits and capital gains (% of revenue)"	GC.TAX.YPKG.RV.ZS																																	11.52542373	12.57676903	20.84049183	16.27785764	7.722421691	9.624885056	10.3424064	10.72151991	10.95550008	9.582701978	6.56813813	6.398777943	7.328045935	7.991902536	6.341288099	6.145090329	7.010305014	5.946931597	6.83931024	3.269993992	3.453271792	2.723696505	2.829069363	2.920784934	2.401089748	
Belize	BLZ	"Taxes on income, profits and capital gains (% of revenue)"	GC.TAX.YPKG.RV.ZS																															18.51787005	20.32251377	23.81699844	23.83154444	21.13340675	17.38147514	17.90767107	18.80671912	19.97948839	18.38439715	21.04612941	20.22992432	18.97057587	19.89071746	21.22315238	23.46775626	22.26563192	24.62722693	26.13823332	30.17129346	31.00719338	28.80038863	29.20348212	26.34033579	28.94898203			
Bermuda	BMU	"Taxes on income, profits and capital gains (% of revenue)"	GC.TAX.YPKG.RV.ZS																																																										
Bolivia	BOL	"Taxes on income, profits and capital gains (% of revenue)"	GC.TAX.YPKG.RV.ZS																										2.666666667	1.431109356	2.574997875	4.525547445	5.368089373	4.541657507	4.616560997	4.583246726	3.955997461	2.571128294	2.277507672	5.527251499	6.646548664	6.878813522	7.403820117	7.090287237	6.070724906	6.722227304	6.325742866	7.013840708	8.715936863	6.577895399	9.64106556										
Brazil	BRA	"Taxes on income, profits and capital gains (% of revenue)"	GC.TAX.YPKG.RV.ZS																															20.44090665	17.10175782	16.86881997	15.37512742	13.52748457			16.77922522	27.23510791	25.884726	25.14951416	25.26420586	28.39708272	27.6432995	26.45566536	28.3634371	24.85204329	26.02949777	26.63748236	28.00403854	21.14950232	22.87542935	21.01247073	21.70524738	22.00929472	20.54381762		
Barbados	BRB	"Taxes on income, profits and capital gains (% of revenue)"	GC.TAX.YPKG.RV.ZS																																												33.09119662	30.11409532	33.75856748	36.78285386	36.95668631	34.21854272	32.2615299	31.64214795	29.73821139	30.76628832	27.64645918				
Brunei Darussalam	BRN	"Taxes on income, profits and capital gains (% of revenue)"	GC.TAX.YPKG.RV.ZS																																																										
Bhutan	BTN	"Taxes on income, profits and capital gains (% of revenue)"	GC.TAX.YPKG.RV.ZS																							3.818327974	4.484038604	4.208518754	4.015316154	5.152791469		4.07607153	4.735272185	5.028958892	4.210282806	4.343466329	5.379593359	5.475867095	7.392548536	9.661474276	10.71942133	13.6817576	10.60996312	13.56796179	13.84075675	14.84339199	18.14147157	13.68601598	14.65482665	13.62526685	13.11351321	13.93415711	15.91263971	22.76829849	25.2145125	22.99670562	25.52112832	24.98221943	27.4735862	24.37495119	
Botswana	BWA	"Taxes on income, profits and capital gains (% of revenue)"	GC.TAX.YPKG.RV.ZS																															37.59396464	29.56921167	28.41469023	26.84712711	31.3409127	20.86372219	16.87570954										25.12390014	22.2260694	26.55744976	26.4714651	29.40485486	29.30877567	24.01222165	27.9464898	28.44073826			
Central African Republic	CAF	"Taxes on income, profits and capital gains (% of revenue)"	GC.TAX.YPKG.RV.ZS																																																	8.43461009	9.137565414	7.821405311							
Canada	CAN	"Taxes on income, profits and capital gains (% of revenue)"	GC.TAX.YPKG.RV.ZS																															51.73285725	49.1085088	48.28145288	47.91593435	47.98654842	48.82156129	51.08830389	51.82581798	52.55682109	53.73077015	54.44071487	52.88810379	50.25606481	50.34811485	52.51428298	53.11424704	54.45306799	54.83316273	55.16834103	53.50267418	52.77041583	53.80839624	53.04289798	53.13947233	54.12907477	53.68603268	53.43439566	
Central Europe and the Baltics	CEB	"Taxes on income, profits and capital gains (% of revenue)"	GC.TAX.YPKG.RV.ZS																																24.22443862	16.36082583	17.94097713	19.00483261	21.90792822	19.58331203	19.27905335	18.7384014	17.45560248	16.95163153	18.37611196	16.68714048	18.91467447	18.70262099	16.86227765	17.97893725	18.76854009	19.62246204	15.90423167	14.87610867	14.54514904	14.9441269	15.0625293	15.10491159	15.74732237		
Switzerland	CHE	"Taxes on income, profits and capital gains (% of revenue)"	GC.TAX.YPKG.RV.ZS													13.54306113	11.60121681	13.81769826	13.13073174	16.99463327	14.39948706	14.49919096	12.6000436	13.53305188	13.80988429	15.09871373	13.82703139	14.89422277						20.19654936	19.77471446	21.22561487	16.35038082	19.63561292	15.4552685	17.81570158	17.26456056	20.08376008	16.17361081	19.86737355	15.86778725	16.79396403	16.91857081	17.18792832	18.35833117	19.4968067	20.09151946	23.03286747	21.78255126	21.55397928	20.99843006	20.78606433	21.29783574	20.94988878	22.85046023	22.79555227	
Channel Islands	CHI	"Taxes on income, profits and capital gains (% of revenue)"	GC.TAX.YPKG.RV.ZS																																																										
Chile	CHL	"Taxes on income, profits and capital gains (% of revenue)"	GC.TAX.YPKG.RV.ZS													14.28571429	15.625	18.28793774	17.26094003	12.13114754	11.69078874	11.51027819	14.08707364	16.91801634	16.28399163	19.16915558	14.27372739	11.33042951	11.35675023	11.70912034	10.38858881	12.4742855	12.71775584	12.49559922	18.46575731	18.20003974	18.26523567	18.33835342	17.41392304	18.5501311	17.75692015	18.57111163	16.97408096	21.77722794	20.75752742	22.62778427	23.46952848	26.75048647	32.83800089	40.86536065	39.99405232	29.1220444	28.0864076	27.22311522	27.17411114	30.36063148	28.67882781	28.89020432	29.82996399	33.85449111	
China	CHN	"Taxes on income, profits and capital gains (% of revenue)"	GC.TAX.YPKG.RV.ZS																																														23.80263118	24.57076042	16.4101963	25.4133274	24.56364881	23.11341166	24.90310597		28.26510652	19.88172055			
Cote d'Ivoire	CIV	"Taxes on income, profits and capital gains (% of revenue)"	GC.TAX.YPKG.RV.ZS																																				15.21567249						11.1371956	10.1359952	19.11946766	17.77682587	22.46756831	25.47906317	24.95634967	24.42895453	19.68621526	20.17281457	22.67351446	21.39089647	22.8573618	22.0558929			
Cameroon	CMR	"Taxes on income, profits and capital gains (% of revenue)"	GC.TAX.YPKG.RV.ZS																																																										
"Congo, Dem. Rep."	COD	"Taxes on income, profits and capital gains (% of revenue)"	GC.TAX.YPKG.RV.ZS																															26.91703195	30.57815224	18.63035714	25.51124451	16.37857397	33.01886792	35.39010709	24.94301853	29.24107918	15.7164869	10.14628343	11.08154011	9.523537301	7.726752061	9.896264986	4.807051715	10.58802802	10.59035895	13.87521733	10.54099645	11.87870977							
"Congo, Rep."	COG	"Taxes on income, profits and capital gains (% of revenue)"	GC.TAX.YPKG.RV.ZS																																	26.31880734	0	0	5.74204947	7.324145931	5.094875243	7.459329785	7.387387387		0	0	4.040543418	6.538282956	4.904599674	3.789451827	5.125297292	4.134581355	9.252687116	4.615153171	7.25143943	8.119167563					
Colombia	COL	"Taxes on income, profits and capital gains (% of revenue)"	GC.TAX.YPKG.RV.ZS																																							23.91251416	23.48894615	23.22779464			20.71390899					18.41247716	21.09130955	16.98151881	15.72831246	19.73047854	16.2032788	20.29395892	22.61404542		
Comoros	COM	"Taxes on income, profits and capital gains (% of revenue)"	GC.TAX.YPKG.RV.ZS																																																										
Cabo Verde	CPV	"Taxes on income, profits and capital gains (% of revenue)"	GC.TAX.YPKG.RV.ZS																																														18.33919634	18.74692198	19.14033759	18.49705384	18.1632747								
Costa Rica	CRI	"Taxes on income, profits and capital gains (% of revenue)"	GC.TAX.YPKG.RV.ZS													17.46031746	18.51851852	15.91836735	14.52145215	16.16438356	17.08428246	15.82608696	14.87341772	13.68563686	14.62217861	17.32237228	16.8979011	13.2215503	12.65544989	10.85043988	9.432077626	9.165526676	9.225446858	9.792874896	8.946591189	8.445075926	9.694483429	10.66862871	11.03649977	10.72684293	10.80614141	11.9769627	14.60857048	12.92220464	13.55360363	13.54654642	14.75876915	14.72925461	14.7814221	14.32852188	15.83439337	17.37639496	16.57721102	16.49746901	15.53576338	15.07130361	15.62212947	15.63060196	15.51298286		
Caribbean small states	CSS	"Taxes on income, profits and capital gains (% of revenue)"	GC.TAX.YPKG.RV.ZS																													21.75350849	23.22728607	25.70178299	26.57675677	23.07685403	21.38909298	23.38931729	35.74116572	38.51854622	39.76851497	39.42002214	36.25678737	38.88044253	37.19181457	32.73807207	40.54243086	41.21985205	45.59942046	50.38524342	49.05585132	52.96980862	45.48769608	43.50115982	50.99013466	45.49302818	32.9366126	41.30198738	33.34627614	31.94558432	
Cuba	CUB	"Taxes on income, profits and capital gains (% of revenue)"	GC.TAX.YPKG.RV.ZS																																																										
Curacao	CUW	"Taxes on income, profits and capital gains (% of revenue)"	GC.TAX.YPKG.RV.ZS																																																										
Cayman Islands	CYM	"Taxes on income, profits and capital gains (% of revenue)"	GC.TAX.YPKG.RV.ZS																																																										
